Driver,LapNumber,Stint,Compound,TyreLife,FreshTyre,LapTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Position,RaceElapsedTime,AirTemp,Humidity,TrackTemp,WindSpeed,WindDirection,TrackStatus,Year,PitStopNextLap,LapsRemaining
GAS,1.0,1.0,3,1.0,1,3.487239068841982,-0.27258607611040114,0.0117338682217719,5.692957385572791,303.0,302.0,310.0,272.0,19.0,0.0,28.8,35.4,44.9,0.3,261,1267,2021,0,52.0
GAS,2.0,1.0,3,2.0,1,-0.085576105850837,-0.20796683144097766,-0.021792462202220527,-0.10723502379827238,308.0,316.0,320.0,319.0,18.0,122.313,29.0,34.6,44.9,0.1,0,1,2021,0,51.0
GAS,3.0,1.0,3,3.0,1,2.087026452287159,-0.23217273742463818,1.5872336227563175,3.1357285157508006,273.0,255.0,307.0,324.0,18.0,211.318,29.2,34.1,44.8,0.2,221,1,2021,0,50.0
GIO,1.0,1.0,2,1.0,1,4.24002301748678,-0.27258607611040114,4.32379062169053,4.472167322741652,325.0,216.0,307.0,258.0,20.0,0.0,28.8,35.4,44.9,0.3,261,1267,2021,1,52.0
GIO,2.0,2.0,3,1.0,1,3.345903559308212,6.803115972121927,-0.3007029982826642,-0.17489673718631904,309.0,311.0,303.0,264.0,19.0,129.301,29.0,34.6,44.9,0.1,0,1,2021,0,51.0
GIO,3.0,2.0,3,2.0,1,-0.28831499986192816,-0.24438093348596235,-0.3610979481244657,-0.17489673718631904,308.0,311.0,303.0,315.0,19.0,250.16,29.2,33.8,45.0,0.3,160,1,2021,0,50.0
GIO,4.0,2.0,3,3.0,1,-0.3177239892694894,-0.265850519662774,-0.37821777642607846,-0.19865031741829292,315.0,318.0,302.0,323.0,18.0,337.283,29.0,32.9,45.2,0.4,244,1,2021,0,49.0
GIO,5.0,2.0,3,4.0,1,-0.30598193855364947,-0.22670009781094114,-0.37845555181915674,-0.21688538911152463,313.0,316.0,303.0,321.0,18.0,424.133,28.9,32.6,44.9,0.2,179,1,2021,0,48.0
GIO,6.0,2.0,3,5.0,1,-0.2975793701514891,-0.2332251681195797,-0.35562911408367276,-0.2137662321113669,312.0,315.0,303.0,320.0,18.0,511.092,28.8,33.3,44.7,0.4,204,1,2021,0,47.0
GIO,7.0,2.0,3,6.0,1,-0.30964459657510446,-0.2553262127133564,-0.34730697532594423,-0.22384350857341678,315.0,317.0,304.0,322.0,18.0,598.129,28.8,32.9,44.7,0.3,307,1,2021,0,46.0
GIO,8.0,2.0,3,7.0,1,-0.29908752345444195,-0.2721651038324239,-0.3182983773704335,-0.21040713995735055,313.0,317.0,304.0,319.0,18.0,685.054,28.9,32.7,44.4,0.2,279,1,2021,0,45.0
GIO,9.0,2.0,3,8.0,1,-0.2917622074115319,-0.25048503151662443,-0.33779595960282616,-0.1991301877260093,317.0,316.0,305.0,319.0,18.0,772.077,29.0,32.9,44.0,0.3,235,1,2021,0,44.0
GIO,10.0,2.0,3,9.0,1,-0.2590137356902941,-0.24080266912316053,-0.28049208987103763,-0.19505129011041797,311.0,312.0,305.0,320.0,18.0,859.168,28.9,32.8,43.9,0.3,219,1,2021,0,43.0
GIO,11.0,2.0,3,10.0,1,-0.27624977343831436,-0.24880114240471785,-0.28477204694644104,-0.2200045461116832,310.0,312.0,306.0,318.0,18.0,946.563,28.7,33.1,44.0,0.5,190,1,2021,0,42.0
