Driver,LapNumber,Stint,Compound,TyreLife,FreshTyre,LapTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Position,RaceElapsedTime,AirTemp,Humidity,TrackTemp,WindSpeed,WindDirection,TrackStatus,PitStopNextLap,LapsRemaining
1,50.0,2.0,3,38.0,0,-0.1582496269265883,-0.163963380318104,0.8500836796433421,-0.3197145780685227,316.0,313.0,311.0,320.0,7.0,4291.768,30.0,41.0,40.8,1.6,152,1,0,2.0
1,51.0,2.0,3,39.0,0,-0.0926306086799134,-0.09143011705972581,0.5142794543169468,-0.1806469053574835,318.0,315.0,308.0,321.0,7.0,4378.965,30.0,41.0,40.8,1.7,161,1,0,1.0
2,1.0,1.0,3,4.0,0,1.958797851591226,-0.169957864884912,5.931331826029672,0.8242599077257295,330.0,326.0,308.0,276.0,15.0,0.0,29.3,41.0,42.8,0.6,332,1,0,50.0
2,2.0,1.0,3,5.0,0,0.07391935712415515,-0.11241081304355423,0.6755538520066007,0.3870540051615641,313.0,314.0,310.0,320.0,14.0,94.96,29.2,41.0,42.5,1.5,4,1,0,49.0
2,3.0,1.0,3,6.0,0,0.05111952875031128,-0.10581688002006472,0.1144073175795858,0.529931751097568,312.0,334.0,309.0,318.0,14.0,182.992,29.2,40.0,43.1,1.0,189,1,0,48.0
2,4.0,1.0,3,7.0,0,-0.17993726855049108,-0.214017326450951,-0.0004730752952346606,0.13177909908924007,314.0,334.0,311.0,335.0,14.0,270.942,29.4,39.0,43.2,1.3,23,1,0,47.0
2,5.0,1.0,3,8.0,0,-0.053147979056909614,-0.17115676179827294,0.6379968004898255,0.15463953843900122,312.0,329.0,309.0,334.0,14.0,358.061,29.5,40.0,43.1,0.8,204,1,0,46.0
2,6.0,1.0,3,9.0,0,-0.17131782123842584,-0.20832256611248381,-0.0777964166532878,0.1765474594825212,313.0,330.0,309.0,331.0,14.0,445.636,29.5,42.0,43.3,1.6,145,1,0,45.0
2,7.0,1.0,3,10.0,0,-0.11292801686638387,-0.20562504805742007,0.2535893320240783,0.2251258931007637,314.0,330.0,309.0,329.0,14.0,532.786,29.7,41.0,43.4,1.7,164,1,0,44.0
2,8.0,1.0,3,11.0,0,-0.1499082263020103,-0.2077231176558023,0.6159044172446719,-0.05110441570884252,311.0,321.0,309.0,334.0,14.0,620.146,29.7,42.0,43.6,2.4,0,1,0,43.0
2,9.0,1.0,3,12.0,0,-0.13934245217754618,-0.22360850175784397,-0.09326108492490157,0.3413331264620451,314.0,331.0,308.0,333.0,14.0,707.373,29.7,43.0,43.6,1.0,162,1,0,42.0
2,10.0,1.0,3,13.0,0,0.02692946693903512,-0.13039426674397814,0.6136951789201535,0.3099000223561235,315.0,327.0,308.0,336.0,14.0,794.638,29.8,41.0,43.9,2.2,168,1,0,41.0
